county,account_id,owner_name,mailing_address,parcel_address,city,zip,assessed_value,use_code,prop_type
Collin,R-6696-000-0260-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,WYLIE,75098,105882,J3,Commercial
Collin,R-6697-000-0010-1,USA,"UNKNOWN, 00000",2200 COLLIN PARK,ST PAUL,75098,1166760,F1,Commercial
Collin,R-6703-000-0040-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",WOODBRIDGE PKWY,WYLIE,75098,153398,J3,Commercial
Collin,R-6703-000-0090-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,WYLIE,75098,78755,J3,Commercial
Collin,R-6716-001-0020-1,PATNA PROPERTIES LLC,"3208 MONETTE LN, PLANO, TX 75025-5356",2455 COUNTRY CLUB RD,WYLIE,75098,588060,C1,Commercial
Collin,R-6716-001-0040-1,WYLIE CITY OF,"300 COUNTRY CLUB DR BLDG 100, WYLIE, TX 75098-3000",FM 1378,WYLIE,75098,11692,F1,Commercial
Collin,R-6716-001-0070-1,PARKER COUNTRY CLUB LP,"5851 LEGACY CIR STE 600, PLANO, TX 75024-5969",2625 COUNTRY CLUB RD,WYLIE,75098,40284,C1,Commercial
Collin,R-6716-001-0100-1,PARKER CITY OF,"5700 E PARKER RD, ALLEN, TX 75002-6767",6903 TAYLOR LN,WYLIE,75098,2974222,EXEMPT,Commercial
Collin,R-6773-000-0070-1,BLACKLAND DEVELOPMENT LLC,"PO BOX 1612, WYLIE, TX 75098-3044",14334 COUNTY ROAD 485,LAVON,75166,240504,CRGP,Commercial
Collin,R-6773-000-0080-1,DALLAS CITY OF,"1500 MARILLA ST, DALLAS, TX 75201-6318",,LAVON,75166,47811,F1,Commercial
Collin,R-6773-000-0110-1,LAVON BUSINESS PARK LLC,"1591 GAGE RD, LAVON, TX 75166-1965",11120 STATE HWY 205,LAVON,75166,252408,C1,Commercial
Collin,R-6794-001-0010-1,DALLAS CITY OF,"1500 MARILLA ST, DALLAS, TX 75201-6318",,,,19904361,F1,Commercial
